"","finalStackSizeAnte","lowestStackSizeAnte","finalStackSizePair","lowestStackSizePair","finalStackSizeSix","lowestStackSizeSix"
"661",12233,11442,6183,5886,14633,12609
"662",13358,12861,7658,7552,18163,14927
"663",11143,10975,10713,10196,9813,9326
"664",13898,13537,12183,12053,9868,8010
"665",12003,11946,10568,10406,15253,14747
"666",12823,12605,7938,7870,13628,12997
"667",11578,11236,8363,8009,14738,13396
"668",14038,13212,12818,12184,14948,13156
"669",15453,14432,12198,11806,16483,14203
"670",12743,11666,12323,12112,14083,12224
"671",13678,12760,10703,10651,14863,13874
"672",12598,12598,5388,4423,15983,14569
"673",13593,13239,7693,7548,13108,11048
"674",11618,11561,8123,7999,13188,12298
"675",12783,12541,9448,9156,11678,11494
"676",15363,14834,10523,9844,10673,10465
"677",12918,12269,11668,11560,10578,9772
"678",11113,11026,9293,8994,15663,12435
"679",11838,11718,12143,11915,9423,9294
"680",13093,12598,11508,11119,14753,13726
"681",11968,11718,6443,6379,11533,10000
"682",13743,13741,9963,9880,13508,12953
"683",11168,11168,10138,10057,14198,13151
"684",12273,12251,8563,7940,20068,14881
"685",12253,11979,9638,9514,12573,11274
"686",12618,12307,10388,10380,13248,11971
"687",11763,11668,10298,9719,12968,12470
"688",12638,12363,11158,11149,10133,8380
"689",11848,11833,10268,10206,13398,10943
"690",13268,12704,9608,9485,16228,13756
"691",12858,12090,9578,9421,12893,11806
"692",13293,12349,5818,5066,6398,6350
"693",13543,12466,12398,12002,14068,12855
"694",14428,13928,6623,6436,12608,10012
"695",15958,14484,13143,12712,10408,10065
"696",12588,12550,10868,10730,12823,12618
"697",12688,12671,11338,11117,17538,13401
"698",11993,11656,11828,11614,9783,9353
"699",13818,12845,9808,9573,8908,8584
"700",14583,14016,10918,10918,16538,13850
"701",10428,10400,9373,9056,13573,13536
"702",14533,13246,8373,8373,14003,13643
"703",11203,11194,10838,10826,9458,8917
"704",14443,12551,7048,7021,8408,8148
"705",12368,12368,13343,12695,7868,6661
"706",12078,11622,7208,6638,15018,13128
"707",13673,13344,14183,12145,17333,14643
"708",12308,11783,7313,7073,12728,11456
"709",14833,14047,11928,11912,19413,14924
"710",12663,12039,6783,6623,13248,12745
"711",13488,13032,10173,9993,10063,9289
"712",12923,12390,11833,11550,10293,9108
"713",11443,11317,9278,9205,12723,10964
"714",13778,13254,9648,9648,11163,10099
"715",10743,10561,12408,12071,12693,12652
"716",12908,12856,8753,8660,13223,11191
"717",14558,13712,5373,5203,12173,11829
"718",11708,11567,13378,13120,15093,14355
"719",12738,12675,13073,12942,10268,10176
"720",14243,13767,7923,7482,13658,12949
"721",12003,11790,8808,8808,14433,13552
"722",11843,11780,9773,9611,13693,12622
"723",14963,13791,11208,10866,13468,13178
"724",12358,12350,13528,13226,15703,13234
"725",14598,14322,10548,10506,17138,14552
"726",14168,14140,9358,9251,11078,10443
"727",13343,12280,9473,9432,8948,8539
"728",12248,11861,11068,10959,10798,9312
"729",11408,11276,7358,7123,13608,12176
"730",12543,12525,10178,9898,13473,10822
"731",11433,11095,7853,7791,403,105
"732",13923,13616,11763,11265,14968,13753
"733",9983,9886,10193,9587,15323,12756
"734",11893,11590,11758,11676,12513,11930
"735",13243,12647,10563,10460,5063,4476
"736",13583,13542,12053,11517,12988,11831
"737",12858,12696,9578,9340,13253,11336
"738",15098,14077,7068,6937,12153,10410
"739",11238,11144,11048,10771,15388,14056
"740",10448,10228,7493,7463,16208,12891
"741",9958,9906,9303,9211,13668,13134
"742",11228,10838,1803,1624,14278,13007
"743",10703,10506,10218,10095,12928,11642
"744",12758,12708,7298,7262,9138,8371
"745",15623,14801,8708,8506,12943,11320
"746",14498,13375,5813,5801,6333,6225
"747",14013,13743,6233,6220,9358,8071
"748",9828,9506,10928,10113,5438,4321
"749",12798,11560,12873,12211,10858,10443
"750",12113,11821,8478,8370,15238,12992
"751",14243,13937,11438,11395,13278,11979
"752",12278,12199,8793,8769,11063,10127
"753",12648,12407,11603,10590,12908,12795
"754",11848,11160,2718,2654,16598,14371
"755",13588,13556,8578,8348,12568,12162
"756",12538,12484,8128,7866,15888,14141
"757",10213,10185,6353,5986,9258,8900
"758",13948,13918,12938,12550,8758,8475
"759",11283,11265,7933,7554,10828,10282
"760",9023,8689,12853,12831,10933,10933
"761",13613,13605,10323,10148,10703,10624
"762",12478,12402,6353,6353,4493,4193
"763",12453,12302,10328,10295,4568,4531
"764",11483,11142,9738,9603,11548,11420
"765",10273,9776,5748,5700,11438,11240
"766",12658,12652,11848,11072,12823,12573
"767",10418,10287,11368,11148,15203,14341
"768",11623,10314,14063,13680,12568,10442
"769",13403,12667,13768,13217,15978,14146
"770",15583,14636,15258,14757,18268,14462
"771",12028,11729,12643,11683,10973,10440
"772",14148,12906,12913,11885,10593,9038
"773",12873,12835,8828,8750,11858,10397
"774",12573,12041,10513,10475,10368,9543
"775",14758,14368,8788,8566,15653,14750
"776",13733,13001,14308,13643,11673,11300
"777",13103,13073,10913,10497,15303,12093
"778",13373,13308,11383,10628,10548,10477
"779",14898,13983,10978,10398,7193,6863
"780",10843,10740,448,389,14978,12830
"781",12453,12438,7668,7266,12363,12073
"782",11853,11825,7628,7571,12753,12352
"783",14598,14073,8873,8616,15023,13273
"784",13888,13793,12303,11534,16163,13910
"785",11733,11546,11698,10293,10183,9676
"786",15048,14086,9483,9414,14543,14081
"787",10573,10429,12833,12821,13063,13063
"788",12028,11891,12368,11956,7148,6513
"789",14988,13990,9003,8889,19353,14842
"790",12983,12859,12783,12107,12693,10195
"791",13568,12829,12163,11704,17958,14730
"792",14688,13961,12643,12090,10258,9627
"793",12753,12652,12773,11663,8913,8621
"794",13583,12970,8468,8468,9163,8500
"795",10103,9800,8363,8293,9398,8669
"796",13068,11765,12503,12396,17063,12253
"797",11818,11504,6353,6245,7803,7536
"798",13978,13978,7493,7493,10718,10055
"799",12103,11210,13963,13963,14363,14084
"800",11938,11883,12053,11201,12088,11325
"801",15348,14689,10823,10460,19308,14648
"802",12358,12348,9048,8996,13003,12096
"803",11958,11470,11158,11113,12828,11537
"804",11088,10979,6408,5986,13893,13424
"805",14168,13117,9658,9227,14338,12183
"806",12413,11341,10948,10263,11593,11163
"807",10953,10844,10178,9419,12873,12345
"808",11413,11392,10088,9317,12058,11524
"809",10518,10238,12268,12187,12078,11576
"810",12613,12198,11763,10803,12178,11030
"811",12043,11664,14768,13595,14673,13961
"812",13683,13559,9723,9139,11228,9705
"813",13228,12635,8213,8201,16133,14836
"814",10978,10919,8293,8234,11828,11337
"815",12458,12060,10558,10330,9778,9737
"816",13588,13459,8313,7321,9708,9272
"817",13933,13887,10808,10145,11853,11685
"818",10593,10398,7013,7007,14613,12907
"819",13928,13170,9398,9340,9123,7395
"820",12493,12252,8808,8372,9053,8847
"821",13453,13360,11798,11734,14063,12477
"822",13423,13375,8743,8333,15753,14013
"823",11068,10979,8123,8010,16218,13658
"824",12148,11990,10693,9398,8513,8015
"825",12508,12337,9618,9581,9703,8005
"826",15023,13771,12103,11852,15843,12982
"827",12478,12099,9923,8929,15718,13041
"828",12163,12163,11133,10670,9523,9307
"829",14088,13756,6958,6886,16228,12214
"830",12068,11889,10088,9933,16173,14854
"831",12363,12079,9308,9211,12558,12355
"832",12428,11738,7213,6679,11983,10329
"833",12678,12331,9778,8804,13643,12655
"834",11973,11652,10833,10664,16328,13939
"835",12968,12123,6648,6515,15943,12452
"836",12428,12401,10413,10413,14223,13796
"837",13343,12949,8798,8099,4763,4068
"838",9598,9538,9948,9240,9888,9819
"839",12048,11998,6038,6016,14443,12192
"840",13138,12817,8118,7994,13393,13200
"841",12183,11713,7798,7640,16063,12753
"842",12053,11683,9228,8616,13108,13100
"843",14028,13917,12083,11522,11023,10089
"844",12133,12086,10978,10729,16498,14440
"845",13178,12979,13093,12485,12308,11177
"846",12293,12285,7448,7247,17023,13995
"847",10068,9964,10658,10658,9618,9044
"848",13073,13045,8588,8513,10468,10178
"849",12258,11760,10533,10109,14868,14483
"850",13508,13445,10783,10740,10933,10874
"851",14523,13955,4468,4220,10553,9897
"852",11258,11206,11533,11070,14568,12908
"853",13573,13506,8203,8141,9513,9009
"854",9548,9341,9658,8800,15028,14776
"855",12913,12797,8318,7807,13398,12910
"856",12383,12246,6998,6960,13308,13092
"857",12633,12369,14578,12852,12473,11671
"858",14373,14267,10463,10191,3983,3633
"859",11243,11186,11968,11682,12743,12245
"860",14743,13590,10978,10778,4888,2942
"861",11868,11616,9848,9725,8998,8912
"862",11953,11953,8178,8044,17563,13345
"863",13353,12854,10268,9963,6663,5619
"864",11488,11424,14543,13513,8928,7035
"865",14628,13349,11238,10930,11948,11747
"866",11993,11729,9898,9455,13468,13411
"867",12133,11914,8358,7929,14483,13463
"868",10963,10963,10068,9611,8368,7904
"869",12698,12690,11023,10324,11603,11338
"870",11773,11336,12238,12130,9398,9389
"871",11543,11387,6723,6664,8773,8263
"872",13443,12887,11348,11211,12823,12434
"873",11348,11016,8913,8876,11353,11263
"874",12313,12136,6523,6225,11058,8799
"875",10248,10197,10393,10190,12028,11980
"876",12543,12525,10943,10648,13408,13177
"877",13403,12872,9203,9180,18503,14260
"878",9578,9165,8313,8216,19408,14611
"879",12698,12592,11948,10958,12353,11894
"880",9468,9426,4418,4039,9343,8508
"881",15238,13874,11108,11015,14083,12257
"882",12463,12308,8608,8572,11003,10143
"883",13433,13270,10008,9855,15223,13746
"884",15178,12815,10883,10883,13898,12740
"885",13808,13752,11758,10957,15073,13293
"886",12873,11985,9568,9533,11603,10742
"887",12703,12208,9958,9809,10508,10122
"888",12588,12179,10093,9822,5773,5565
"889",12878,12577,11443,11314,16043,14358
"890",15343,14147,11558,11373,5558,5558
"891",11693,11084,9438,9347,16578,14137
"892",13168,13105,11173,10756,6313,6133
"893",12823,12447,8563,8073,10408,9176
"894",12538,12010,8428,8176,11628,11191
"895",11968,11733,5798,5765,4703,4241
"896",14943,14416,10528,10414,15403,14143
"897",10218,9998,13873,13171,13638,12510
"898",10008,9901,9328,8918,4398,4286
"899",8418,8229,7793,7698,15653,14993
"900",14253,14006,7453,7172,5443,5395
"901",12248,11991,7673,7331,10888,10837
"902",11883,11630,12793,12171,7703,5749
"903",10518,10437,12173,11801,13568,12228
"904",12813,11712,10283,9563,7453,7310
"905",11948,11637,13853,13767,10913,9625
"906",12693,12122,9353,8935,5013,5013
"907",11583,9988,8778,8704,16338,12418
"908",15963,14850,12468,11943,14433,13731
"909",9433,9393,8798,8782,14513,12706
"910",14398,13125,7698,7550,9818,9253
"911",14623,13239,8583,8042,15353,14236
"912",12623,12313,11088,10776,8848,7311
"913",14373,13352,8843,8375,2898,2898
"914",10393,9662,8883,8843,18688,14897
"915",12123,11982,10133,10048,12423,12111
"916",12773,12744,13393,13299,10648,9134
"917",11148,10967,11368,11276,11603,10747
"918",13413,13388,6183,6147,16173,14902
"919",9593,9142,11483,11123,11853,11498
"920",11823,11585,10103,9612,14678,11359
"921",12268,12105,3773,3653,14183,12497
"922",10803,10660,13358,12813,16153,14640
"923",12903,12797,14913,13927,7328,7060
"924",12913,12542,7428,6781,6388,5075
"925",12718,12584,11363,9973,13438,13026
"926",13303,12384,9878,9760,16758,14158
"927",9893,9893,11813,11752,9303,9211
"928",12548,12365,9188,9122,14713,13734
"929",13403,13161,8353,8308,12643,12282
"930",14033,13457,12688,11978,15088,13178
"931",12478,12446,10023,9992,13188,12845
"932",11898,11866,6893,6862,11243,10977
"933",11808,11756,7143,7043,14618,12679
"934",15763,14787,7888,7326,10408,8042
"935",14183,13749,10333,10086,12873,12021
"936",10373,10373,12443,12383,13213,12808
"937",13013,12803,9453,9331,14768,12471
"938",13203,12983,9968,9946,12968,12412
"939",11593,11484,7243,6945,8238,7809
"940",14263,14189,9858,8983,16338,13965
"941",11393,11350,6408,6400,15063,13046
"942",15183,13966,12313,12307,5568,3851
"943",14223,13510,9353,8644,14148,13784
"944",16018,14709,8773,8517,16398,12101
"945",10233,9990,7328,7277,17203,14535
"946",11063,10994,8228,8130,13323,13195
"947",13493,13112,9898,9609,15403,13906
"948",12068,11889,7488,7195,10098,9194
"949",12868,12756,11733,11392,6513,6314
"950",11968,11919,10423,10168,11193,10417
"951",12298,12258,7973,7804,8628,8478
"952",13858,13400,10283,9949,16088,13574
"953",14408,13784,13938,13815,12123,11973
"954",12313,12308,10328,9886,16223,14388
"955",15943,14849,12123,11504,14928,14098
"956",13378,12711,6793,6495,11063,10553
"957",13023,12777,10153,9321,11528,10780
"958",13343,13153,11763,11073,14853,13192
"959",10728,10327,6168,5857,11483,10938
"960",13253,13221,9578,9536,12743,12227
"961",11853,11852,10633,10423,14493,12816
"962",13743,13377,10473,10417,17013,14961
"963",12628,12029,11778,11299,12758,10473
"964",11633,11512,7793,7661,13228,12779
"965",13398,12802,8973,8815,10098,9458
"966",12978,12579,9163,8899,15503,13959
"967",10398,10240,9038,8664,14888,12148
"968",12783,12610,12583,11990,8728,8552
"969",13033,12806,10103,9845,8898,8651
"970",13393,13202,11053,10674,17308,14399
"971",12078,11756,10728,10604,12938,12481
"972",12113,11959,8448,8134,12973,11932
"973",13668,13456,11763,11590,9223,7928
"974",11333,10660,8833,8787,11738,10225
"975",13938,13114,9983,9497,4153,3813
"976",15793,13703,10683,10680,16183,14790
"977",14498,14268,10688,10408,13333,11885
"978",15458,14564,15738,13927,13723,12758
"979",11888,11788,11218,11175,13643,12772
"980",13168,12738,9268,9184,13398,11875
"981",12543,12234,11363,11239,17183,14107
"982",13313,13173,10068,9904,11423,10252
"983",13178,13135,7258,7112,13443,12515
"984",10808,10786,10168,9889,15188,12410
"985",14798,14206,11783,10876,13898,13085
"986",12568,12262,14228,13505,14018,13390
"987",12818,12713,8733,8401,9888,9446
"988",12818,12662,7673,7445,15163,13589
"989",13428,13286,10408,10269,13993,12131
"990",12333,12065,9703,9671,11908,9857
"991",11573,11424,11263,11036,20528,14881
"992",9833,9254,10568,10365,13213,12119
"993",12433,12178,7813,7317,8928,7597
"994",12608,12396,12063,10912,14763,13712
"995",10903,10738,9038,8939,12138,11597
"996",12283,12246,11913,11852,7503,7156
"997",10273,10090,13268,13013,12843,10725
"998",11453,10192,9408,8717,12443,11046
"999",14243,13711,9878,9573,17998,14707
"1000",12768,12604,10843,10721,11243,10863
